num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration
0,1,2,315,6,0,3,38,51,1,1,0,18
1,0,2,68,5,1,5,287,93,1,1,1,13
0,0,2,259,72,9,6,6,51,1,0,1,19
0,0,2,29,4,3,1,590,4,1,1,1,19
0,0,2,30,63,4,6,734,4,1,0,1,9
1,1,2,18,3,0,3,284,43,0,0,0,15
1,0,2,31,6,22,5,64,85,1,0,1,12
0,0,2,17,82,13,4,659,101,1,1,1,9
1,0,2,398,5,21,6,501,43,1,0,0,13
0,0,2,5,130,5,1,750,85,1,1,1,10
0,0,2,1,4,13,1,390,43,0,1,0,15
0,0,2,18,6,10,1,639,4,0,0,1,19
0,1,2,21,62,11,6,659,4,0,0,0,9
0,0,2,3,7,9,6,175,4,1,0,1,19
0,1,2,32,9,5,6,412,4,1,1,1,17
3,0,2,267,8,9,2,6,61,1,1,0,19
0,0,2,3,78,15,3,362,4,1,0,0,19
0,0,2,4,2,7,4,287,43,0,0,0,13
0,0,2,294,7,7,0,300,37,1,1,0,12
2,0,2,216,6,10,0,300,85,0,0,1,12
1,0,2,64,4,2,6,425,101,1,0,0,12
0,0,2,64,4,15,2,603,17,0,0,0,7
0,0,2,9,76,2,6,107,4,1,0,1,19
0,0,2,29,25,10,3,438,4,1,1,0,17
1,1,2,51,3,0,5,368,85,0,0,0,12
0,0,2,208,4,9,0,422,85,0,1,1,12
1,0,2,193,9,6,4,265,4,0,0,0,19
0,1,2,53,6,10,2,300,85,1,0,0,12
3,0,2,60,3,6,3,422,85,1,0,1,12
0,0,2,48,5,4,2,287,93,1,1,1,13
1,0,2,31,6,9,3,199,51,1,0,0,18
1,0,2,64,14,6,5,265,4,1,0,0,19
7,0,2,32,4,9,5,264,36,1,1,0,8
0,0,2,1,4,11,2,30,4,1,1,0,9
0,0,2,55,24,13,5,175,4,1,0,1,19
0,1,2,396,6,3,5,102,37,0,0,0,12
0,0,2,16,6,22,4,291,4,0,0,0,19
1,0,1,7,22,7,1,107,4,1,0,0,19
3,0,2,43,6,13,3,397,51,1,0,1,15
0,0,2,25,8,9,5,438,85,0,0,0,17
0,0,2,70,11,13,5,178,4,1,1,1,17
1,0,2,185,20,8,2,6,61,0,0,0,19
0,0,2,30,4,11,2,287,93,1,0,0,13
0,0,2,16,8,6,5,6,51,0,0,0,19
6,0,2,46,8,1,2,114,4,1,1,1,17
0,0,2,265,6,7,2,287,93,1,0,0,13
0,0,2,24,7,3,3,775,80,0,0,0,4
0,0,1,60,0,10,5,105,37,0,1,0,13
1,0,2,122,3,15,6,307,37,0,1,0,11
0,1,2,93,7,9,0,380,61,1,1,0,17
0,0,2,78,40,14,6,755,17,1,1,1,7
0,0,2,75,6,5,1,717,51,0,0,1,0
0,0,2,104,170,10,4,629,17,0,0,0,19
1,0,2,25,10,8,5,373,4,1,0,0,19
0,0,2,7,10,3,3,291,72,1,0,0,19
2,0,2,144,21,5,0,178,4,1,0,1,17
1,0,2,174,5,22,3,178,4,0,0,1,17
0,0,2,244,2,3,3,747,85,0,0,0,10
3,0,2,124,18,8,3,174,4,1,1,1,19
0,0,2,12,6,0,4,310,4,0,0,0,17
0,0,2,32,14,15,2,176,4,1,0,0,9
2,0,2,60,32,0,1,247,4,1,1,1,17
1,1,2,5,125,12,3,622,4,1,1,1,19
0,0,2,45,5,1,5,715,17,1,1,1,7
0,0,2,120,13,2,3,148,4,1,1,0,19
1,0,2,246,12,7,1,92,4,0,0,0,19
0,0,2,3,6,7,2,38,51,1,0,0,18
0,0,2,145,6,7,0,112,85,1,1,1,10
0,0,2,2,3,15,0,717,51,1,1,0,0
1,0,2,27,3,22,4,773,91,0,0,0,0
0,1,2,59,11,7,1,296,4,1,1,1,17
0,0,2,27,81,11,6,30,4,1,1,1,9
0,1,2,13,8,4,0,633,103,1,0,0,19
0,0,2,38,10,8,1,543,4,0,0,0,13
2,0,2,47,13,1,6,90,4,1,1,0,17
0,0,2,62,153,15,1,576,51,1,0,1,2
0,0,2,7,52,4,3,470,51,1,0,0,2
1,0,2,118,12,4,5,634,4,0,0,1,19
0,0,2,9,3,0,6,481,43,0,1,0,13
0,0,2,75,13,4,0,160,4,1,1,1,19
0,0,2,50,11,7,5,11,42,1,0,1,12
0,0,2,178,6,6,6,250,103,1,1,1,19
0,0,2,81,2,0,1,436,85,1,0,0,12
0,1,2,45,13,21,5,296,4,1,1,0,17
0,0,2,51,13,3,4,380,93,1,1,1,17
0,0,2,33,4,8,0,384,43,0,0,1,16
0,0,2,40,9,3,4,639,91,0,0,0,19
1,0,2,406,16,17,6,593,4,1,1,0,9
0,0,2,77,11,12,4,640,4,1,1,1,19
3,0,2,211,11,10,4,6,51,1,0,0,19
3,0,2,13,6,2,6,713,4,1,1,0,9
0,0,2,74,13,8,2,733,4,0,0,1,9
2,0,2,186,5,8,4,42,51,1,0,0,12
4,0,2,206,7,13,6,6,51,1,0,0,19
0,0,2,17,4,1,2,469,43,1,0,1,13
0,0,2,172,49,3,1,725,51,1,1,0,9
0,0,2,25,2,12,0,549,43,0,1,1,13
0,0,2,59,4,14,1,404,43,0,0,1,15
1,0,2,24,4,5,3,378,85,1,0,0,10
1,0,2,149,5,14,5,42,51,1,1,0,12
0,0,2,164,6,8,1,626,51,0,0,0,19
2,0,2,113,6,16,5,378,85,1,0,0,10
0,0,2,78,87,9,0,659,4,1,1,0,9
2,0,2,30,4,5,3,371,43,1,0,0,13
1,0,2,182,11,7,1,770,103,1,1,0,17
1,0,2,76,63,11,6,641,4,1,0,1,19
1,0,2,86,10,22,6,148,4,1,0,1,19
1,0,2,11,4,13,0,366,4,0,1,0,17
1,0,2,82,6,7,2,574,50,1,0,0,2
0,0,2,22,4,1,0,422,85,0,0,1,12
0,0,2,150,94,4,0,429,85,1,0,0,12
1,0,2,78,12,0,1,150,4,0,0,1,19
3,0,2,102,12,10,1,245,4,1,0,0,9
1,0,2,285,5,7,0,335,17,0,0,0,5
1,1,2,5,44,13,4,694,4,1,0,0,19
1,0,2,91,4,11,2,747,85,1,0,0,10
1,0,2,112,4,12,2,391,43,0,1,1,15
0,0,2,346,6,3,0,26,37,0,0,0,13
0,1,2,36,17,0,0,696,4,1,0,0,19
0,0,2,34,17,10,1,716,4,1,0,1,17
1,0,2,120,9,19,5,6,100,0,0,0,19
0,0,2,13,5,11,2,627,4,1,1,1,19
1,0,2,6,1,3,6,294,93,0,0,1,10
0,0,2,85,13,14,0,639,91,1,0,0,19
1,0,2,64,14,11,2,631,4,1,1,1,19
0,0,2,100,4,10,0,391,43,1,0,1,15
0,0,2,72,4,11,1,380,4,1,1,0,17
1,0,2,309,3,13,4,436,85,0,0,0,12
0,0,2,6,22,15,1,470,51,1,0,0,2
3,0,2,187,23,1,6,178,4,1,1,1,17
1,0,2,141,5,7,1,675,12,1,1,1,10
0,0,2,65,7,16,1,397,43,1,1,0,15
1,0,2,19,6,3,2,673,51,1,1,0,19
0,0,2,73,29,11,5,6,61,1,1,0,19
0,0,2,3,5,22,0,617,4,0,0,0,0
0,0,2,1,3,10,4,404,43,1,0,0,15
0,0,2,2,6,6,3,667,80,1,0,0,14
1,0,2,4,6,13,0,652,17,1,1,0,11
0,0,2,92,7,9,2,285,85,1,0,1,12
0,0,2,58,13,10,2,24,37,1,1,0,12
2,0,2,287,6,4,0,345,17,1,0,1,19
1,0,2,104,47,14,4,693,91,1,0,0,19
0,0,2,216,15,12,3,616,4,1,0,0,17
1,0,2,120,18,6,4,292,93,1,0,0,11
0,0,2,117,4,6,3,688,4,1,0,0,19
0,0,2,117,16,3,3,518,51,1,0,0,11
0,0,2,98,12,4,6,272,4,1,0,1,9
2,0,2,70,20,15,3,397,51,0,0,0,15
0,0,2,30,71,14,1,783,36,1,0,1,17
0,0,2,6,3,7,1,542,43,0,0,1,13
0,0,2,69,14,3,0,770,4,1,0,1,17
0,0,2,9,5,10,1,530,37,1,0,0,13
1,0,2,60,4,3,6,549,80,0,0,1,13
2,0,2,316,25,16,1,6,51,0,0,0,19
0,0,2,24,7,7,3,733,91,1,1,1,9
2,0,2,391,5,10,0,714,51,1,0,0,10
0,0,2,43,5,8,5,49,51,1,1,1,9
0,0,2,134,4,13,5,179,91,0,0,0,0
0,0,2,42,11,13,6,222,4,1,0,0,19
0,0,2,2,14,2,5,12,51,1,1,0,13
0,0,2,90,6,14,2,605,91,0,1,1,0
6,0,2,40,62,5,4,659,4,1,0,0,9
0,0,2,40,7,7,0,296,4,0,0,0,17
5,0,2,272,4,13,3,368,85,0,0,0,12
0,0,2,51,10,13,6,617,91,1,0,0,0
1,0,2,160,28,8,5,613,4,1,0,1,19
1,0,2,77,8,10,3,380,4,1,1,0,17
2,0,2,52,6,16,1,309,17,1,0,0,7
0,1,2,15,5,13,2,707,43,0,0,0,11
0,0,2,31,16,2,1,440,85,1,1,1,12
1,0,2,29,12,22,3,309,21,0,0,0,7
1,0,2,328,4,10,5,716,51,1,1,1,17
1,0,2,6,6,11,2,713,51,0,0,1,9
1,0,2,117,3,18,0,717,91,1,0,0,0
1,0,2,36,6,7,5,307,17,1,0,0,11
0,0,2,19,20,8,0,470,51,1,0,0,2
0,0,2,133,5,16,3,75,12,1,1,1,9
1,0,2,17,28,3,0,178,4,1,1,1,17
0,0,2,60,17,9,2,622,77,1,0,0,19
2,0,2,5,10,12,4,272,36,1,0,0,9
1,0,2,72,17,6,3,154,4,1,0,0,17
0,0,2,40,5,6,6,289,4,1,0,1,19
1,0,2,34,28,10,5,733,4,1,0,0,9
3,0,2,71,6,1,2,287,93,1,0,0,13
1,0,2,40,48,7,2,99,37,1,1,1,8
0,0,2,31,7,5,1,252,36,1,0,0,8
1,1,2,75,3,8,4,632,51,1,1,0,19
0,0,2,205,5,6,0,277,36,0,0,0,8
0,0,2,117,6,19,0,521,15,0,0,1,7
0,0,2,32,18,16,3,10,91,1,0,1,0
1,0,2,385,4,5,3,287,93,1,0,0,13
1,0,2,64,6,7,1,549,43,1,0,0,13
0,1,2,111,4,15,5,300,85,1,0,1,12
1,0,2,34,6,9,5,506,4,1,1,0,9
0,1,2,15,6,4,4,375,4,1,1,1,19
1,0,2,0,1,3,5,287,93,0,0,0,13
2,0,2,153,4,1,4,438,85,0,1,1,17
0,1,2,5,46,5,2,478,51,1,0,1,0
2,0,2,74,5,14,2,430,85,1,0,0,12
0,0,2,27,3,13,4,674,51,1,0,0,9
0,0,2,16,78,9,1,713,51,1,0,0,9
1,0,2,145,6,5,5,309,17,0,0,0,7
2,0,2,222,11,8,3,633,4,0,0,0,19
0,0,0,9,70,1,1,622,4,1,0,0,19
0,0,2,54,19,12,1,161,93,1,0,0,19
0,0,2,294,4,4,4,232,17,0,1,0,1
1,0,2,24,5,10,4,404,80,0,0,0,15
1,0,2,98,7,0,6,176,4,1,0,0,9
2,0,2,49,9,13,0,291,4,1,0,0,19
1,1,2,41,5,7,0,234,17,1,0,0,1
1,0,2,25,4,4,3,517,51,1,1,1,19
0,0,2,264,6,4,1,717,51,1,0,0,0
0,0,2,91,5,6,4,267,71,0,0,0,8
0,0,2,6,5,7,2,717,51,0,0,0,0
1,0,2,49,22,8,3,576,51,1,0,0,2
2,0,2,21,14,17,3,405,37,1,1,1,15
1,0,2,195,6,6,0,45,51,0,1,0,19
0,0,2,159,6,12,1,188,37,1,1,0,18
0,0,2,45,4,3,1,436,85,0,0,0,12
0,0,2,79,4,14,6,371,43,0,0,1,13
0,0,2,183,18,0,3,280,4,0,0,0,17
0,0,2,10,4,12,2,546,43,1,1,0,13
0,0,2,134,6,9,6,633,4,0,0,0,19
0,0,2,62,10,5,0,627,4,0,0,0,19
0,0,2,165,7,9,2,6,61,1,0,1,19
0,0,2,1,5,12,2,285,93,1,0,0,12
0,0,2,50,6,14,1,234,17,0,0,0,1
1,0,2,65,19,11,6,245,7,1,0,1,9
0,0,2,20,5,7,1,304,37,1,1,0,19
1,0,2,38,6,13,2,309,17,1,1,0,7
2,0,2,70,6,11,2,51,17,1,0,0,7
0,0,2,10,21,11,6,566,91,1,0,0,0
0,0,2,93,5,5,4,424,85,0,0,0,19
0,0,2,18,5,8,2,285,93,0,0,1,12
0,0,2,36,15,2,6,296,17,1,0,0,17
0,0,2,42,5,13,4,74,12,0,1,0,19
1,0,2,101,24,17,3,6,90,1,0,0,19
0,1,2,13,12,7,0,256,43,1,1,0,15
0,0,2,13,5,5,5,114,4,0,0,0,17
0,0,2,41,1,15,1,77,91,0,0,0,0
0,0,2,9,5,14,4,416,51,1,0,0,12
0,0,2,2,5,4,0,543,4,1,1,0,13
0,1,2,98,26,13,0,296,4,1,1,1,17
0,0,2,27,182,14,1,508,27,1,0,0,7
0,0,2,13,3,13,3,613,4,0,0,0,19
6,0,2,36,6,12,1,102,37,1,1,0,12
0,0,2,54,26,12,0,357,17,0,0,1,5
3,0,2,37,4,2,5,302,43,1,1,0,13
0,0,2,30,6,6,0,515,80,1,0,0,19
1,0,2,98,4,11,0,300,85,0,0,0,12
0,0,2,29,4,13,5,772,4,0,0,0,17
0,0,2,50,5,18,1,309,80,1,1,1,7
1,0,2,214,3,11,5,371,43,1,1,1,13
1,0,2,313,5,2,2,43,51,0,0,0,13
1,0,2,29,21,5,5,438,85,1,1,1,17
5,0,2,225,3,5,0,368,85,1,0,0,12
0,0,2,5,6,5,0,102,37,1,1,1,12
0,0,2,101,84,4,2,622,4,1,1,0,19
4,0,2,26,6,12,3,187,93,1,0,0,18
3,0,2,294,7,14,2,6,51,1,0,1,19
1,1,2,159,5,7,5,101,37,1,0,0,15
0,0,2,74,7,10,2,304,4,1,1,0,19
0,0,2,65,4,0,1,114,4,0,0,0,17
0,0,2,100,5,14,0,542,51,1,0,0,13
0,0,2,117,29,3,5,680,4,1,0,1,19
0,1,2,15,17,2,2,626,51,1,0,0,19
1,0,2,46,13,12,6,178,4,1,0,1,17
1,0,2,180,5,10,2,102,37,0,0,0,12
0,0,2,22,5,9,1,6,61,1,1,1,19
1,0,2,185,52,8,2,56,4,1,1,0,9
2,1,2,39,4,3,4,287,43,0,0,0,13
0,0,2,4,12,9,0,537,4,0,0,0,19
0,0,2,6,20,12,4,416,51,1,1,1,12
0,0,2,18,17,6,0,622,54,1,0,1,19
2,0,2,129,26,8,2,178,4,0,0,0,17
0,0,2,17,39,12,4,366,4,0,0,0,17
2,0,2,186,7,8,6,161,4,1,1,0,19
0,0,2,38,5,4,3,167,91,0,1,1,0
2,0,2,7,5,6,0,717,51,1,0,0,0
1,0,2,248,24,12,2,6,90,1,0,1,19
0,0,2,25,5,9,2,782,4,0,0,1,17
2,0,2,111,5,6,3,542,51,1,0,1,13
0,0,2,5,6,11,2,112,85,0,0,0,10
0,0,2,111,41,11,4,633,4,1,1,1,19
0,0,2,186,9,15,6,6,51,0,0,0,19
1,0,2,322,6,13,3,429,51,1,1,0,12
0,0,2,313,20,21,0,522,4,1,0,0,17
0,0,2,30,25,1,0,782,4,1,0,0,17
0,0,2,27,5,9,0,626,4,0,1,0,19
1,0,0,40,4,2,4,749,85,1,1,1,17
1,0,2,259,29,21,3,6,61,1,0,1,19
0,0,2,32,3,11,6,716,4,1,0,0,17
1,0,2,76,4,2,4,368,85,1,1,0,12
0,0,2,7,77,10,2,109,37,1,0,0,19
0,0,2,10,4,6,1,717,91,0,1,1,0
0,0,2,23,5,12,3,147,43,1,0,1,13
0,0,2,56,49,7,0,725,51,1,1,0,9
0,0,2,32,4,5,1,300,85,0,0,0,12
0,0,2,50,6,9,4,290,93,0,0,0,14
0,1,2,24,5,1,6,727,4,1,1,1,9
1,0,2,3,8,13,4,755,17,0,0,0,7
0,0,2,12,5,15,3,41,43,1,0,1,15
0,0,2,2,3,23,0,6,61,0,0,1,19
2,0,2,270,5,16,6,474,80,0,0,0,11
1,0,2,11,3,8,0,416,85,0,0,0,12
0,0,2,32,19,13,4,633,4,1,0,1,19
0,0,2,72,7,1,4,770,4,1,0,0,17
0,0,2,4,4,14,4,576,51,0,0,0,2
0,0,2,16,5,5,3,365,17,0,0,0,9
0,0,2,142,4,9,6,391,43,0,0,0,15
1,0,2,263,5,2,2,478,51,1,1,1,0
0,0,2,217,3,2,4,436,85,0,1,0,12
2,0,2,106,6,13,0,434,51,1,0,1,12
1,0,2,59,6,11,6,555,4,1,1,1,19
0,0,2,68,55,16,6,112,85,1,0,0,10
0,0,2,28,4,3,1,782,4,0,1,1,17
2,1,2,242,6,8,5,710,17,0,0,0,11
0,0,2,27,5,1,4,293,4,0,1,0,9
1,0,2,109,5,14,1,43,43,1,1,1,13
0,0,2,38,8,5,5,621,4,1,0,1,19
0,0,2,68,20,3,2,166,93,1,1,0,17
1,0,2,7,81,1,4,174,4,0,0,0,19
1,0,2,191,4,7,3,368,85,0,0,0,12
0,0,2,15,18,3,5,252,43,1,0,0,8
1,0,2,93,4,8,2,309,17,1,0,0,7
0,0,2,83,5,3,3,701,101,0,0,1,11
0,0,2,57,17,7,0,756,4,1,0,0,17
1,0,2,34,8,5,2,397,51,0,0,0,15
0,0,2,46,13,8,2,296,4,1,0,1,17
0,0,2,13,6,7,3,295,93,0,0,0,7
0,0,2,44,11,10,0,146,85,1,0,1,12
0,0,2,58,10,1,6,736,4,0,0,0,9
1,0,2,8,6,4,1,48,17,0,0,0,11
0,0,2,12,110,1,1,770,4,1,0,0,17
1,0,2,6,4,5,3,378,85,0,0,1,10
1,0,2,297,11,4,0,295,17,1,1,0,7
0,1,2,112,8,13,6,416,51,1,0,0,12
0,0,2,10,7,23,1,616,4,1,1,1,17
0,0,2,8,5,20,0,293,4,0,0,0,9
0,0,2,16,68,5,4,575,51,1,0,0,2
0,1,2,111,75,0,1,6,61,1,0,1,19
0,0,2,38,18,3,1,626,51,1,1,1,19
1,0,2,9,5,9,4,190,51,0,0,0,18
0,1,2,68,23,5,2,289,4,1,0,0,19
0,0,2,301,4,15,6,287,43,0,0,0,13
0,0,2,27,26,17,3,754,80,1,0,1,7
0,1,2,53,170,2,5,6,61,1,0,0,19
0,0,2,20,25,4,0,679,4,1,0,0,19
1,0,2,12,4,1,3,717,51,1,0,0,0
0,0,2,35,13,8,4,109,4,1,0,0,19
0,0,2,27,87,8,3,174,4,1,1,1,19
0,0,2,259,32,6,3,154,4,1,1,1,17
0,1,2,57,22,6,5,458,4,1,1,1,17
1,0,2,278,5,4,3,6,51,1,0,0,19
1,1,2,75,6,12,4,717,51,1,0,1,0
1,0,2,181,8,2,4,6,61,1,0,1,19
2,0,2,438,4,17,5,302,43,1,0,0,13
1,0,2,216,4,9,0,422,85,1,1,0,12
0,0,2,8,14,13,0,302,43,1,1,0,13
0,0,2,105,3,14,0,436,85,1,0,0,12
0,0,2,1,4,9,1,114,4,1,1,0,17
0,1,2,79,33,23,6,300,85,0,1,0,12
1,0,2,260,41,2,0,626,4,0,0,0,19
1,0,2,89,25,13,4,132,4,0,0,0,9
0,0,2,63,7,2,4,761,91,0,0,1,0
0,0,2,298,108,17,6,6,100,0,0,0,19
1,0,2,30,1,11,5,537,43,0,1,1,19
1,0,2,205,6,5,6,565,37,0,0,0,17
1,0,2,102,19,3,6,47,4,1,1,1,19
0,0,2,2,3,6,0,287,43,1,0,0,13
0,0,2,43,5,7,4,3,85,1,1,0,12
0,0,2,167,79,8,2,41,51,1,0,0,15
0,0,2,34,31,14,6,713,4,0,0,0,9
0,0,2,26,10,7,4,293,4,1,0,0,9
0,0,1,90,4,1,1,428,85,1,0,1,19
0,0,2,46,24,6,5,649,4,0,0,0,9
2,0,2,217,4,4,2,284,93,1,0,0,15
0,0,2,9,4,9,4,715,51,0,0,0,7
0,0,2,21,4,4,0,380,4,1,1,1,17
0,0,2,27,117,8,1,449,4,1,1,1,19
1,1,2,24,5,17,1,717,51,1,1,0,0
0,0,2,27,26,11,4,778,91,1,0,0,0
0,0,2,42,110,14,1,159,43,1,1,0,13
0,0,2,240,3,1,1,629,17,0,0,1,19
0,0,2,86,4,17,1,6,14,0,0,0,19
2,0,2,52,6,2,3,377,4,1,0,1,9
0,0,2,318,10,16,1,633,4,1,0,1,19
1,1,2,87,6,5,4,298,17,1,0,1,5
0,0,2,52,6,11,4,253,36,1,1,1,8
5,0,2,155,4,5,4,713,51,1,0,1,9
0,0,2,15,5,11,2,519,4,0,0,0,9
2,0,2,155,10,10,4,150,4,1,0,1,19
0,1,2,1,5,4,2,365,4,0,0,0,9
0,0,2,33,5,0,3,595,4,1,1,1,7
2,1,2,43,6,12,1,48,17,1,1,1,11
0,0,2,180,24,8,2,471,51,1,0,0,19
0,0,2,166,9,12,2,626,4,1,0,0,19
0,0,2,48,4,2,3,436,36,0,0,0,12
0,0,2,137,20,9,0,175,4,1,1,1,19
0,0,2,5,28,3,1,271,36,1,1,1,8
1,1,2,7,6,16,2,377,4,1,1,0,9
0,0,2,65,6,7,3,502,51,1,1,0,2
0,0,2,69,6,1,5,631,57,0,0,0,19
0,0,2,43,14,7,5,543,4,1,0,0,13
1,0,2,17,6,17,0,349,51,1,0,1,5
0,0,2,1,11,7,6,57,4,0,0,0,17
0,0,2,21,3,8,0,308,85,0,1,1,10
0,0,2,13,87,9,4,470,51,1,0,0,2
0,0,2,9,7,10,3,154,4,1,0,1,17
0,0,2,14,18,15,5,411,4,1,0,0,9
1,0,2,77,64,14,1,716,51,1,1,1,17
0,0,2,105,195,8,2,47,51,1,1,1,19
1,0,2,228,12,10,0,522,51,0,0,0,17
1,0,2,97,52,3,1,175,61,1,0,1,19
0,1,2,68,5,12,5,761,91,0,0,0,0
0,0,2,140,5,10,1,300,85,0,0,0,12
2,1,2,225,5,13,1,309,17,0,0,1,7
0,0,2,57,3,3,3,633,103,1,0,0,19
0,0,2,164,15,8,4,291,4,0,0,1,19
5,0,2,51,5,9,0,680,51,1,0,1,19
1,0,2,48,26,12,4,770,4,1,1,0,17
0,1,2,28,6,6,1,321,4,0,1,0,19
